,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
195,달,0,50,20,0,0,26,31,0,48,0,10,0,30,0,0
196,즐겁소,117,74,16,17,7,50,55,24,9,47,25,0,4,60,51
197,명륜진사갈비 신촌점,102,33,92,51,0,13,5,2,8,20,1,0,2,22,40
198,보성식당,2,1,3,2,0,0,0,0,0,0,0,0,0,1,0
199,인차이나,42,14,11,6,7,3,1,0,4,4,1,0,1,7,4
200,옹헤야불백,144,19,43,29,58,10,2,0,3,1,1,0,1,21,1
201,(주)뽕족 구로디지털점,84,33,14,9,8,9,2,1,6,9,2,0,1,12,12
202,인생짬뽕,61,26,9,30,6,19,2,1,6,0,1,0,0,21,7
203,삼대맛집 명인멸치칼국수,108,30,25,44,25,9,0,2,7,0,3,0,6,21,0
204,예산한우,42,16,5,4,3,1,1,0,2,6,0,0,0,10,2
205,미스터피자 청담점,39,17,12,4,2,13,1,0,4,2,2,0,0,4,3
206,브로스,43,23,11,9,22,7,2,0,8,0,1,0,0,14,1
207,국시와가래떡,21,3,12,3,7,1,1,0,1,1,0,0,0,4,3
208,복성루,53,24,6,6,6,1,0,0,4,0,0,0,1,3,0
209,우리식당,20,5,6,3,0,1,1,0,3,0,0,0,1,2,0
210,미강,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,일광정사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,송죽헌,36,13,4,5,1,5,3,3,0,3,0,0,0,8,2
213,참양,33,16,5,1,1,10,0,1,2,0,1,0,0,15,1
214,깜꼬치킨 둔촌직영점,29,10,16,4,0,1,1,0,4,1,1,0,0,4,0
215,세수대야냉면,27,11,9,9,8,3,1,0,0,1,1,0,0,3,2
216,성진,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
217,스시코하루,32,15,16,9,4,8,2,3,9,0,0,0,0,18,0
218,전티마이 베트남 쌀국수 이화여대점,95,26,89,24,61,13,0,0,4,2,1,0,1,5,27
219,선유서가,0,4,2,0,0,1,4,0,4,0,0,0,1,0,0
220,네네치킨,40,7,4,8,2,2,1,0,4,0,1,0,1,9,0
221,누들하우스(NOODLE HOUSE),36,14,8,7,27,7,6,0,4,0,0,0,0,7,1
222,대초원샤브샤브,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
